"filename", "language", "SCSS", "Vue", "JavaScript", "XML", "comment", "blank", "total"
"e:\tugas akhir\program\penjualanadmin\src\App.vue", "Vue", 0, 135, 0, 0, 3, 10, 148
"e:\tugas akhir\program\penjualanadmin\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"e:\tugas akhir\program\penjualanadmin\src\components\Navigation.vue", "Vue", 0, 393, 0, 0, 508, 0, 901
"e:\tugas akhir\program\penjualanadmin\src\components\biayaKeluar.vue", "Vue", 0, 286, 0, 0, 0, 8, 294
"e:\tugas akhir\program\penjualanadmin\src\components\composes\add.js", "JavaScript", 0, 0, 68, 0, 0, 4, 72
"e:\tugas akhir\program\penjualanadmin\src\components\composes\composes.js", "JavaScript", 0, 0, 276, 0, 20, 39, 335
"e:\tugas akhir\program\penjualanadmin\src\components\composes\delete.js", "JavaScript", 0, 0, 14, 0, 0, 2, 16
"e:\tugas akhir\program\penjualanadmin\src\components\composes\edit.js", "JavaScript", 0, 0, 37, 0, 0, 2, 39
"e:\tugas akhir\program\penjualanadmin\src\components\composes\mergeSort.js", "JavaScript", 0, 0, 21, 0, 0, 4, 25
"e:\tugas akhir\program\penjualanadmin\src\components\editAdmin.vue", "Vue", 0, 17, 0, 0, 257, 0, 274
"e:\tugas akhir\program\penjualanadmin\src\components\labaBersih.vue", "Vue", 0, 130, 0, 0, 8, 15, 153
"e:\tugas akhir\program\penjualanadmin\src\components\labaKotor.vue", "Vue", 0, 79, 0, 0, 0, 5, 84
"e:\tugas akhir\program\penjualanadmin\src\components\lineChart.vue", "Vue", 0, 251, 0, 0, 0, 22, 273
"e:\tugas akhir\program\penjualanadmin\src\components\listAdmin.vue", "Vue", 0, 134, 0, 0, 1, 4, 139
"e:\tugas akhir\program\penjualanadmin\src\components\pieChart.vue", "Vue", 0, 163, 0, 0, 2, 15, 180
"e:\tugas akhir\program\penjualanadmin\src\components\previewImage.vue", "Vue", 0, 43, 0, 0, 0, 2, 45
"e:\tugas akhir\program\penjualanadmin\src\components\reviewCard.vue", "Vue", 0, 166, 0, 0, 0, 9, 175
"e:\tugas akhir\program\penjualanadmin\src\components\reviewTerbanyakCard.vue", "Vue", 0, 28, 0, 0, 0, 2, 30
"e:\tugas akhir\program\penjualanadmin\src\components\riwayatBarangMasuk.vue", "Vue", 0, 209, 0, 0, 1, 8, 218
"e:\tugas akhir\program\penjualanadmin\src\components\totalPengeluaran.vue", "Vue", 0, 101, 0, 0, 16, 17, 134
"e:\tugas akhir\program\penjualanadmin\src\components\totalProfit.vue", "Vue", 0, 139, 0, 0, 0, 17, 156
"e:\tugas akhir\program\penjualanadmin\src\components\userDialog.vue", "Vue", 0, 17, 0, 0, 233, 0, 250
"e:\tugas akhir\program\penjualanadmin\src\main.js", "JavaScript", 0, 0, 19, 0, 0, 3, 22
"e:\tugas akhir\program\penjualanadmin\src\plugins\firebase.js", "JavaScript", 0, 0, 14, 0, 0, 3, 17
"e:\tugas akhir\program\penjualanadmin\src\plugins\vuetify.js", "JavaScript", 0, 0, 5, 0, 0, 3, 8
"e:\tugas akhir\program\penjualanadmin\src\router\index.js", "JavaScript", 0, 0, 108, 0, 0, 5, 113
"e:\tugas akhir\program\penjualanadmin\src\scss\variables.scss", "SCSS", 52, 0, 0, 0, 0, 1, 53
"e:\tugas akhir\program\penjualanadmin\src\store\index.js", "JavaScript", 0, 0, 180, 0, 23, 12, 215
"e:\tugas akhir\program\penjualanadmin\src\views\Customer.vue", "Vue", 0, 711, 0, 0, 11, 12, 734
"e:\tugas akhir\program\penjualanadmin\src\views\Dashboard.vue", "Vue", 0, 221, 0, 0, 0, 6, 227
"e:\tugas akhir\program\penjualanadmin\src\views\Laporan.vue", "Vue", 0, 288, 0, 0, 1, 4, 293
"e:\tugas akhir\program\penjualanadmin\src\views\Pesanan.vue", "Vue", 0, 360, 0, 0, 1, 10, 371
"e:\tugas akhir\program\penjualanadmin\src\views\Produk.vue", "Vue", 0, 144, 0, 0, 598, 1, 743
"e:\tugas akhir\program\penjualanadmin\src\views\kategori.vue", "Vue", 0, 19, 0, 0, 0, 6, 25
"e:\tugas akhir\program\penjualanadmin\src\views\login.vue", "Vue", 0, 150, 0, 0, 0, 5, 155
"e:\tugas akhir\program\penjualanadmin\src\views\messages.vue", "Vue", 0, 120, 0, 0, 0, 8, 128
"Total", "-", 52, 4304, 742, 1, 1683, 265, 7047